choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Ecuador 60,Zotter,3.5,Austria,60.0,Abajo,Ecuador,Earthen,41.0,44.0,20.0,36.0,55.0,77.0,61.0,57.0,68.0,98.0,84.0,88.7,81.2,85.0
Ecuador 70,Zotter,4.0,Austria,70.0,Abajo,Ecuador,Naked,64.0,44.0,41.0,47.0,59.0,65.0,68.0,63.0,76.0,94.0,82.0,84.0,89.6,88.0
Ecuador 50,Zotter,4.5,Austria,50.0,Nacional,Ecuador,Crossover,34.0,66.0,24.0,11.0,68.0,59.0,76.0,80.0,72.0,88.0,89.0,88.7,92.2,95.0
White with Nibs,Danta,4.5,Guatemala,,-ish,Guatemala,Sugar,64.0,58.0,9.0,21.0,44.0,76.0,47.0,76.0,72.0,96.0,94.0,87.3,90.6,89.0
IG/65-96  ,Hotel Chocolat,4.5,UK,65.0,Blend,St. Lucia,Fruits,70.0,72.0,53.0,46.0,76.0,76.0,79.0,84.0,76.0,92.0,87.0,89.3,93.6,90.5
IG/65-120   ,Hotel Chocolat,5.0,UK,65.0,Blend,St. Lucia,Fruits,79.0,67.0,51.0,34.0,76.0,79.0,71.0,88.0,70.0,90.0,89.0,90.7,94.8,96.5
Dark-Milk 50%,Hotel Chocolat,4.5,UK,50.0,Blend,St. Lucia,Earthen,67.0,61.0,28.0,52.0,76.0,71.0,65.0,78.0,76.0,86.0,90.0,88.0,91.8,90.5
Ghana,Mars,0.0,USA,65.0,Amazon,Ghana,Naked,64.0,46.0,23.0,68.0,77.0,61.0,12.0,17.0,69.0,76.0,52.0,67.3,42.8,33.0
Brasilien 70,Zotter,3.0,Austria,70.0,Amazon,Brazil,Twang,49.0,56.0,76.0,51.0,58.0,77.0,55.0,41.0,69.0,80.0,88.0,87.3,80.6,78.5
Brasilien 60,Zotter,4.0,Austria,60.0,Amazon,Brazil,Earthen,64.0,70.0,16.0,23.0,66.0,68.0,44.0,67.0,76.0,70.0,70.0,84.7,90.6,93.0
Panama 40,Zotter,4.5,Austria,40.0,Hybrid,Panama,Earthen,31.0,64.0,17.0,11.0,76.0,59.0,45.0,88.0,81.0,90.0,80.0,94.7,92.0,90.5
Panama 70,Zotter,3.5,Austria,70.0,Hybrid,Panama,Naked,79.0,57.0,22.0,26.0,65.0,44.0,34.0,83.0,61.0,76.0,81.0,78.0,89.6,88.0
Nicaragua 70,Zotter,2.5,Austria,70.0,Blend,Nicaragua,Naked,93.0,47.0,12.0,50.0,76.0,61.0,8.0,67.0,62.0,80.0,69.0,84.7,80.6,79.0
