choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Asante,Scharffen Berger,4.0,USA,65.0,Amazon,Ghana,Fruits,68.0,57.0,51.0,46.0,52.0,67.0,42.0,59.0,73.0,90.0,81.0,88.0,88.0,88.0
Leche,Enric Rovira,3.5,Spain,40.0,,,Earthen,22.0,86.0,6.0,27.0,81.0,58.0,53.0,77.0,62.0,94.0,84.0,84.0,86.2,84.5
Montanya,Amano,3.5,USA,70.0,Ocumare,Venezuela,Crossover,42.0,39.0,61.0,72.0,66.0,70.0,47.0,48.0,67.0,84.0,86.0,82.7,87.0,86.0
Ocumare Milk,Amano,2.0,USA,30.0,some,Venezuela,Crossover,64.0,73.0,38.0,29.0,66.0,52.0,41.0,34.0,51.0,88.0,81.0,62.0,77.2,71.0
Jembrana Milk,Amano,5.0,USA,30.0,Amazon,Indonesia,Spices,36.0,69.0,41.0,26.0,68.0,71.0,64.0,79.0,66.0,94.0,78.0,93.3,94.6,96.0
El Rustico,Askinosie,2.5,USA,70.0,???,Mexico,Spices,31.0,50.0,49.0,22.0,59.0,94.0,36.0,29.0,49.0,96.0,87.0,92.7,76.0,66.0
Xoconusco,Chocovic,3.5,Spain,71.0,Criollo,Mexico,Naked,76.0,49.0,48.0,46.0,81.0,62.0,54.0,64.0,55.0,94.0,84.0,79.3,88.2,89.0
Sambirano,Chocovic,3.5,Spain,71.0,distant,Madagascar,Naked,81.0,52.0,37.0,44.0,84.0,65.0,56.0,71.0,57.0,84.0,81.0,80.7,89.0,89.0
Guanaja Grué,Valrhona,4.5,France,70.0,Blend,,Crossover,71.0,50.0,56.0,57.0,62.0,88.0,86.0,73.0,89.0,94.0,86.0,91.3,91.8,92.5
Raw Seeds,Tava/Journée,5.0,Australia,,Amelonado,Vanuatu,Naked,71.0,34.0,37.0,62.0,2.0,56.0,36.0,80.0,68.0,90.0,72.0,92.7,96.2,96.5
Rawbar,Tava/Journée,3.0,Australia,70.0,Amazon,Vanuatu,Naked,68.0,42.0,12.0,44.0,11.0,50.0,29.0,33.0,74.0,72.0,69.0,78.0,85.0,81.5
Bianco,Bessone,3.0,Italy,,,,Spices,12.0,94.0,29.0,18.0,44.0,83.0,45.0,51.0,54.0,94.0,70.0,92.7,78.2,78.5
El Oro,Bessone,1.5,Italy,67.0,CCN-51,Ecuador,Earthen,55.0,46.0,14.0,18.0,71.0,69.0,26.0,39.0,52.0,88.0,52.0,86.7,60.6,63.5
Colombia,Bessone,4.0,Italy,71.0,Criollo,Colombia,Spices,74.0,37.0,46.0,48.0,76.0,66.0,64.0,80.0,62.0,86.0,87.0,78.7,90.0,86.0
Ocumare,Bessone,3.0,Italy,71.0,Criollo-related,Venezuela,Naked,86.0,50.0,26.0,56.0,71.0,64.0,36.0,74.0,61.0,86.0,94.0,80.7,82.4,80.5
Fina Estate,Bessone,2.5,Italy,70.0,2006,Trinidad,Crossover,58.0,46.0,36.0,77.0,85.0,68.0,51.0,44.0,59.0,94.0,86.0,92.0,71.2,72.0
Scavina,Bessone,3.0,Italy,60.0,incl,Brazil,Earthen,66.0,62.0,23.0,38.0,73.0,51.0,49.0,68.0,72.0,66.0,82.0,82.7,85.4,82.5
Trintade,Bessone,4.0,Italy,65.0,Amazon,São Tomé,Fruits,66.0,62.0,57.0,40.0,71.0,63.0,61.0,64.0,68.0,96.0,84.0,84.0,90.6,92.5
Yaoya,Bessone,3.0,Italy,67.0,Amazon,Nicaragua,Naked,83.0,76.0,21.0,30.0,64.0,52.0,26.0,68.0,61.0,88.0,79.0,80.0,85.2,84.0
Belizze,Bessone,1.0,Italy,67.0,Hybrid,Belize,Earthen,57.0,46.0,24.0,66.0,79.0,64.0,30.0,43.0,58.0,98.0,62.0,78.0,56.8,60.5
Ceylon,Bessone,5.0,Italy,41.0,Criollo,Sri Lanka,Crossover,37.0,56.0,24.0,30.0,68.0,77.0,91.0,72.0,87.0,98.0,97.0,78.7,96.4,94.5
Caracas,Bessone,4.5,Italy,67.0,,Venezuela,Crossover,62.0,56.0,41.0,52.0,68.0,81.0,87.0,68.0,93.0,100.0,79.0,84.7,92.8,93.0
Gianduia,Bessone,5.0,Italy,,Criollo,Sri Lanka,Crossover,47.0,86.0,24.0,9.0,68.0,95.0,92.0,97.0,72.0,98.0,97.0,97.3,98.2,96.5
Kacinkoa,Weiss,3.5,France,85.0,Blend,(Ivory Coast; Trinidad; Venezuela),Earthen,56.0,33.0,6.0,48.0,64.0,39.0,28.0,71.0,69.0,74.0,83.0,90.0,86.2,82.0
Ébène,Weiss,3.5,France,72.0,Blend,(Ivory Coast; Ecuador; Venezuela; Trinidad),Fruits,64.0,52.0,36.0,21.0,62.0,55.0,66.0,69.0,65.0,84.0,84.0,79.3,88.6,87.5
Acarigua,Weiss,3.0,France,70.0,Blend,(Ivory Coast; Ecuador; Venezuela; Trinidad),Naked,37.0,70.0,21.0,26.0,54.0,29.0,23.0,58.0,62.0,74.0,74.0,72.7,86.8,79.0
Grand Noir,Weiss,2.0,France,57.0,Blend,(Ecuador; Venezuela; Trinidad; Madagascar),Naked,51.0,77.0,18.0,16.0,58.0,44.0,23.0,31.0,61.0,80.0,71.0,77.3,68.4,69.0
Recolta Café,Weiss,0.5,France,55.0,,,Earthen,12.0,71.0,82.0,38.0,56.0,92.0,27.0,31.0,42.0,92.0,78.0,62.0,54.2,37.0
Ibaria,Weiss,3.0,France,67.0,Blend,(Ecuador; Trinidad),Fruits,25.0,61.0,90.0,14.0,58.0,52.0,54.0,47.0,61.0,84.0,87.0,72.7,81.4,80.5
Lait Entier,Weiss,1.5,France,37.0,,(Ivory Coast; Madagascar; Ecuador; Venezuela),Crossover,22.0,73.0,32.0,4.0,41.0,26.0,28.0,17.0,48.0,96.0,66.0,55.3,71.4,72.5
Blanc Rouge,Weiss,4.0,France,,,,Fruits,29.0,87.0,66.0,2.0,46.0,81.0,60.0,62.0,56.0,78.0,74.0,78.0,91.2,92.0
90,Lindt,3.0,Switzerland,90.0,Blend,,Naked,71.0,20.0,12.0,41.0,86.0,54.0,23.0,82.0,61.0,94.0,81.0,79.3,85.6,77.0
Bahia,Marcolini,3.0,Belgium,72.0,Amazon,Brazil,Twang,42.0,46.0,53.0,38.0,66.0,61.0,54.0,65.0,62.0,78.0,77.0,84.7,83.6,83.0
Éclat 72%,Marcolini,0.0,Belgium,72.0,CCN-51,Ecuador,Earthen,26.0,34.0,21.0,47.0,54.0,32.0,11.0,28.0,23.0,56.0,34.0,54.7,27.4,21.0
85% w/ Nibs,Blanxart,2.5,Spain,85.0,Blend,,Naked,76.0,22.0,8.0,44.0,77.0,41.0,14.0,70.0,66.0,90.0,60.0,86.0,77.4,72.0
Nibs,Malie Kai,4.5,USA,,Hybrid,Hawai'i USA,Crossover,51.0,44.0,52.0,62.0,66.0,61.0,57.0,70.0,72.0,96.0,92.0,84.0,91.8,93.5
Costa Rica 91,Theo,3.0,USA,91.0,Matina,Costa Rica,Earthen,23.0,26.0,13.0,82.0,63.0,79.0,32.0,46.0,47.0,94.0,78.0,88.7,77.2,84.0
70%,Theo,3.5,USA,70.0,Blend,(Costa Rica; Panama [Bocas del Toro]; Ecuador),Spices,41.0,44.0,62.0,50.0,56.0,55.0,61.0,53.0,71.0,92.0,54.0,88.0,88.6,89.0
Organic Dark,Theo,3.0,USA,70.0,Hybrid,Panama,Fruits,76.0,49.0,31.0,38.0,72.0,44.0,26.0,68.0,48.0,96.0,76.0,72.7,81.6,83.5
Xoconuzco,Bonnat,5.0,France,75.0,Criollo,Mexico,Naked,56.0,54.0,25.0,34.0,76.0,58.0,27.0,83.0,59.0,96.0,76.0,96.0,96.4,95.0
Carenero,Escazú,4.0,USA,81.0,Criollo/Trinitario,Venezuela,Crossover,58.0,43.0,68.0,29.0,61.0,84.0,76.0,90.0,82.0,84.0,88.0,79.3,91.4,91.5
Dark Goat,Escazú,3.5,USA,60.0,Criollo/Trinitario,Venezuela,Crossover,39.0,41.0,56.0,18.0,62.0,77.0,65.0,62.0,68.0,86.0,82.0,78.0,87.6,88.0
75%,Santander,4.5,Colombia,75.0,Criollo/Pajarito,Colombia,Crossover,54.0,38.0,42.0,72.0,84.0,76.0,78.0,71.0,77.0,88.0,86.0,84.7,93.2,89.0
Amazon,Adi,4.5,Fiji,,Amelonado,Fiji,Crossover,12.0,46.0,42.0,71.0,1.0,53.0,76.0,62.0,67.0,96.0,83.0,88.0,91.2,99.0
Cundeamor,Adi,3.0,Fiji,,Hybrid,Fiji,Crossover,56.0,41.0,27.0,85.0,4.0,81.0,66.0,50.0,63.0,94.0,86.0,76.0,80.4,78.5
White w/ Coffee,Santander,5.0,Colombia,35.0,Caucano,Colombia,Crossover,37.0,84.0,46.0,16.0,57.0,71.0,88.0,76.0,71.0,88.0,92.0,82.0,95.2,94.5
Koko-Bata,Adi,2.5,Fiji,,Cundeamor,Fiji,Naked,14.0,11.0,6.0,51.0,63.0,70.0,46.0,62.0,68.0,78.0,79.0,93.3,76.2,76.5
Soso-O,Adi,3.0,Fiji,100.0,Cundeamor,Fiji,Earthen,26.0,37.0,15.0,67.0,61.0,76.0,31.0,54.0,60.0,74.0,85.0,56.0,87.6,79.5
Boi,Adi,3.0,Fiji,85.0,Hybrid,Fiji,Earthen,47.0,41.0,25.0,58.0,64.0,71.0,62.0,49.0,66.0,54.0,83.0,72.0,85.8,78.5
Toto-A,Adi,1.5,Fiji,80.0,Blend,Fiji,Earthen,29.0,25.0,21.0,63.0,61.0,64.0,31.0,41.0,60.0,44.0,78.0,42.7,73.4,63.0
Ami-Ami-Ca,Adi,3.0,Fiji,72.0,Blend,Fiji,Earthen,37.0,34.0,32.0,45.0,61.0,56.0,45.0,61.0,68.0,68.0,78.0,66.0,87.4,78.5
Loloma,Adi,3.0,Fiji,70.0,Cundeamor,Fiji,Spices,44.0,53.0,36.0,33.0,61.0,55.0,59.0,54.0,66.0,78.0,87.0,68.0,88.0,82.0
Special Dark,Hershey’s,2.0,USA,45.0,Blend,,Earthen,29.0,68.0,13.0,24.0,86.0,65.0,41.0,29.0,44.0,58.0,82.0,70.7,73.6,73.5
DR1,Soma,3.5,Canada,66.0,a,Dominican Republic,Crossover,54.0,76.0,45.0,42.0,67.0,68.0,72.0,46.0,79.0,100.0,86.0,86.0,86.8,84.0
Conacado,Soma,5.0,Canada,70.0,Criollo,Dominican Republic,Fruits,48.0,66.0,61.0,14.0,57.0,93.0,82.0,96.0,77.0,72.0,92.0,95.3,95.6,96.0
Dominican Republic 70%,Soma,3.5,Canada,70.0,Amazon,Dominican Republic,Crossover,51.0,57.0,44.0,61.0,68.0,63.0,65.0,54.0,72.0,86.0,80.0,89.3,85.6,79.5
Papua New Guinea 70%,Soma,2.5,Canada,70.0,Hybrid,Papua New Guinea,Crossover,44.0,46.0,51.0,56.0,70.0,76.0,33.0,58.0,62.0,94.0,83.0,83.3,78.4,75.0
Dominican Republic / Papua New Guinea,Soma,3.5,Canada,70.0,Blend,(Dominican Republic; Papua New Guinea),Earthen,34.0,42.0,28.0,51.0,76.0,82.0,46.0,95.0,70.0,76.0,80.0,92.0,86.2,82.0
Dark Fire,Soma,3.5,Canada,66.0,Criollo/Trinitario,Venezuela,Spices,39.0,53.0,68.0,33.0,69.0,77.0,44.0,72.0,91.0,82.0,80.0,84.7,86.8,83.0
Madagascar Milk,Soma,4.0,Canada,48.0,modest,Madagascar,Crossover,36.0,67.0,41.0,12.0,71.0,66.0,77.0,81.0,84.0,68.0,89.0,84.7,92.0,91.5
Ghana 70,Soma,3.5,Canada,70.0,Amazon,Ghana,Earthen,72.0,48.0,21.0,39.0,76.0,54.0,28.0,81.0,76.0,76.0,83.0,85.3,88.2,87.0
Ghana/Madagascar,Soma,4.0,Canada,70.0,Blend,(Ghana; Madagascar),Crossover,68.0,54.0,44.0,34.0,76.0,71.0,65.0,76.0,81.0,76.0,78.0,84.0,90.2,90.0
Dancing in Your Head,Soma,3.5,Canada,70.0,Amazon,(Ghana; Madagascar; Venezuela),Spices,58.0,51.0,36.0,31.0,77.0,74.0,60.0,72.0,68.0,84.0,91.0,79.3,89.2,85.0
Arcana 3-100,Soma,4.5,Canada,100.0,Blend,(Ghana; Madagascar; Dominican Republic),Crossover,9.0,36.0,68.0,66.0,71.0,80.0,73.0,66.0,75.0,62.0,82.0,87.3,95.2,95.0
Arcana 4-100,Soma,2.5,Canada,100.0,Blend,(Papua New Guinea; Ghana; Ivory Coast; Madagascar),Crossover,4.0,11.0,77.0,82.0,70.0,84.0,66.0,45.0,71.0,76.0,79.0,72.7,80.8,71.5
75% Blend w/ Nibs,Soma,1.5,Canada,75.0,Blend,(Ghana; Madagascar; Dominican Republic; Peru; Papua),Crossover,41.0,44.0,62.0,48.0,64.0,77.0,61.0,34.0,69.0,84.0,84.0,74.7,65.8,53.0
Mad 74,Theo,1.0,USA,74.0,Hybrid,Madagascar,Twang,17.0,28.0,78.0,36.0,72.0,68.0,31.0,25.0,56.0,100.0,73.0,60.7,61.4,56.0
Madagascar 72%,Mast Brothers,2.0,USA,72.0,mite,Madagascar,Twang,26.0,34.0,77.0,48.0,67.0,71.0,35.0,41.0,64.0,76.0,79.0,62.7,73.6,70.0
Madagascar with Almonds,Mast Brothers,3.5,USA,72.0,mite,Madagascar,Crossover,33.0,36.0,79.0,44.0,67.0,76.0,68.0,55.0,82.0,80.0,83.0,80.7,85.8,88.0
Dark w/ Nibs,Malie Kai,3.5,USA,55.0,Hybrid,Hawai'i USA,Fruits,39.0,81.0,48.0,7.0,46.0,52.0,54.0,47.0,44.0,70.0,78.0,79.3,90.0,87.0
Milk Choc w/ Nibs,Malie Kai,3.5,USA,38.0,Hybrid,Hawai'i USA,Earthen,37.0,71.0,30.0,16.0,48.0,39.0,54.0,59.0,56.0,62.0,92.0,78.7,86.8,89.5
Black Pepper,Åkesson's,2.5,Sweden,75.0,Hybrid,Madagascar,Spices,33.0,40.0,89.0,44.0,65.0,92.0,51.0,42.0,68.0,94.0,86.0,78.7,76.8,78.5
Criollo,Åkesson's,3.5,Sweden,75.0,Criollo,Madagascar,Crossover,48.0,51.0,56.0,61.0,83.0,64.0,55.0,62.0,76.0,90.0,88.0,86.0,86.4,84.0
Arabia,Al nassma,3.0,Dubai,31.0,Amazon,Ivory Coast,Spices,23.0,49.0,88.0,16.0,58.0,72.0,44.0,46.0,65.0,92.0,82.0,79.3,78.8,80.0
Camel Milk,Al nassma,3.0,Dubai,31.0,Amazon,Ivory Coast,Earthen,13.0,62.0,14.0,27.0,60.0,72.0,58.0,45.0,71.0,88.0,86.0,79.3,83.0,81.5
Cocoa 70,Al nassma,2.5,Dubai,70.0,Amazon,Ivory Coast,Earthen,56.0,53.0,44.0,49.0,61.0,72.0,66.0,54.0,78.0,74.0,80.0,80.7,79.2,76.0
Voatsiperifery,Åkesson's,4.0,Sweden,75.0,Hybrid,Madagascar,Spices,31.0,38.0,66.0,37.0,62.0,71.0,80.0,64.0,92.0,92.0,89.0,80.0,88.4,87.0
Amazonia,Cacaoyere,3.0,Ecuador,63.0,gen'l,Ecuador,Sugar,51.0,81.0,69.0,24.0,56.0,76.0,68.0,47.0,43.0,86.0,80.0,72.0,85.2,79.5
Grenada 75%,Burdick,5.0,USA,75.0,Amazon,Grenada,Spices,78.0,37.0,32.0,42.0,71.0,79.0,44.0,96.0,83.0,92.0,94.0,88.0,92.0,95.5
Congo 82,Blanxart,3.0,Spain,82.0,Calabacillo,Congo,Naked,77.0,54.0,16.0,21.0,79.0,56.0,32.0,51.0,70.0,96.0,69.0,97.3,81.8,78.5
N-Ration,Askinosie,4.5,USA,,?,Ecuador,Crossover,11.0,30.0,34.0,80.0,72.0,71.0,66.0,67.0,70.0,88.0,10.0,87.3,89.2,91.5
Davao Dark Milk,Askinosie,3.0,USA,62.0,Hybrid,Philippines,Earthen,30.0,39.0,22.0,64.0,56.0,78.0,66.0,47.0,81.0,88.0,88.0,79.3,83.4,79.0
Ocumare Nibs,Amano,5.0,USA,,Ocumare,Venezuela,Naked,44.0,42.0,23.0,16.0,51.0,46.0,49.0,90.0,52.0,86.0,80.0,84.0,95.6,97.5
Mad Nibs,Amano,3.5,USA,,Hybrid,Madagascar,Crossover,18.0,26.0,69.0,54.0,58.0,76.0,65.0,64.0,59.0,74.0,79.0,81.3,89.2,81.5
Jembrana Nibs,Amano,3.5,USA,,Amazon,Indonesia,Crossover,41.0,44.0,46.0,91.0,61.0,71.0,62.0,51.0,70.0,90.0,83.0,74.7,85.2,87.0
Dos Rios,Amano,3.5,USA,70.0,Hybrid,Dominican Republic,Fruits,47.0,63.0,91.0,44.0,61.0,82.0,34.0,39.0,0.0,98.0,91.0,86.0,85.4,81.0
Barlovento Nibs,Amano,3.5,USA,,Carenero,Venezuela,Earthen,52.0,36.0,47.0,58.0,56.0,64.0,71.0,62.0,69.0,88.0,86.0,78.7,86.6,92.5
Accra Nibs,Amano,2.5,USA,,Amazon,Ghana,Earthen,26.0,27.0,31.0,80.0,57.0,76.0,32.0,45.0,59.0,96.0,89.0,68.7,72.2,79.0
Mac-Orange,Al nassma,2.5,Dubai,31.0,Amazon,Ivory Coast,Fruits,22.0,71.0,90.0,11.0,49.0,76.0,62.0,51.0,73.0,40.0,69.0,72.0,80.8,78.0
Dates,Al nassma,3.5,Dubai,31.0,Amazon,Ivory Coast,Earthen,33.0,84.0,27.0,16.0,65.0,70.0,68.0,79.0,76.0,42.0,86.0,78.0,91.0,91.0
Javagrey,Domori,4.5,Italy,45.0,Criollo,Indonesia,Earthen,27.0,59.0,34.0,36.0,49.0,24.0,77.0,76.0,88.0,88.0,80.0,92.7,90.4,93.5
Brazilian Milk,Choklat,1.0,Canada,48.0,Amazon,Brazil,Earthen,22.0,74.0,5.0,9.0,57.0,28.0,16.0,27.0,31.0,72.0,71.0,50.0,66.4,54.0
Cuyagua 70,Choklat,2.0,Canada,70.0,Criollo,Venezuela,Crossover,43.0,39.0,24.0,16.0,58.0,66.0,54.0,62.0,70.0,98.0,87.0,27.3,80.6,61.0
Fave di Cacao,Domori,4.5,Italy,,Blend,,Crossover,22.0,34.0,38.0,82.0,61.0,86.0,77.0,83.0,88.0,88.0,93.0,87.3,91.6,95.0
Chuao,Domori,5.0,Italy,70.0,Criollo,Venezuela,Crossover,79.0,76.0,51.0,48.0,54.0,66.0,70.0,83.0,77.0,96.0,93.0,98.0,98.2,99.0
Bianco Mentha,Domori,4.5,Italy,,,,Spices,34.0,66.0,21.0,28.0,71.0,59.0,76.0,79.0,79.0,84.0,88.0,79.3,92.6,94.0
Bianco Liquirizia,Domori,3.5,Italy,,Amazon,Peru,Spices,37.0,77.0,21.0,61.0,71.0,60.0,86.0,84.0,86.0,82.0,53.0,80.7,91.2,91.0
White,Danta,5.0,Guatemala,33.0,Blend,Guatemala,Naked,72.0,61.0,19.0,16.0,44.0,68.0,52.0,97.0,76.0,100.0,92.0,79.3,96.8,91.0
Ujuxtes 60,Danta,1.5,Guatemala,60.0,-ish,Guatemala,Earthen,31.0,76.0,42.0,76.0,42.0,84.0,35.0,41.0,46.0,82.0,73.0,68.0,63.2,63.5
Ujuxtes 70,Danta,3.5,Guatemala,70.0,-ish,Guatemala,Twang,77.0,56.0,63.0,52.0,42.0,71.0,68.0,61.0,76.0,90.0,89.0,73.3,86.8,81.5
Milk Choc w/ Nibs,Danta,4.0,Guatemala,,Criollo,Guatemala,Crossover,59.0,92.0,38.0,21.0,49.0,76.0,79.0,61.0,76.0,78.0,83.0,89.3,90.0,86.0
Acacias Milk,Danta,3.0,Guatemala,39.0,Criollo,Guatemala,Crossover,49.0,62.0,44.0,39.0,45.0,81.0,77.0,76.0,61.0,98.0,84.0,72.7,86.6,80.5
Acacias 75,Danta,3.0,Guatemala,75.0,Criollo,Guatemala,Fruits,46.0,62.0,70.0,47.0,45.0,76.0,77.0,31.0,66.0,96.0,87.0,72.0,84.2,77.0
Chuao 100h,Coppeneur,5.0,Germany,70.0,Criollo,Venezuela,Fruits,47.0,66.0,44.0,32.0,70.0,56.0,49.0,81.0,48.0,98.0,87.0,90.0,94.0,98.0
Chuao 70h,Coppeneur,5.0,Germany,70.0,Criollo,Venezuela,Crossover,58.0,55.0,61.0,51.0,76.0,82.0,88.0,76.0,75.0,94.0,84.0,86.7,97.6,97.0
Costa Rica Nibs,Cocoa Puro,3.5,USA,,Matina,Costa Rica,Earthen,53.0,64.0,16.0,39.0,66.0,44.0,52.0,49.0,71.0,80.0,87.0,76.7,86.8,84.0
Pichincha,Cacaoyere,2.5,Ecuador,91.0,Hybrid,Ecuador,Earthen,10.0,22.0,24.0,81.0,64.0,80.0,33.0,54.0,65.0,86.0,93.0,92.0,72.4,72.0
Esmeraldas,Cacaoyere,4.5,Ecuador,71.0,Esmeraldas,Ecuador,Spices,61.0,59.0,51.0,34.0,56.0,72.0,77.0,93.0,76.0,90.0,80.0,80.7,94.6,96.0
Porcelana 70%,Choklat,1.0,Canada,70.0,Criollo,Venezuela,Fruits,32.0,61.0,56.0,34.0,65.0,62.0,46.0,37.0,57.0,98.0,71.0,40.0,72.2,52.0
Ocumare 80,Choklat,1.5,Canada,80.0,Criollo,Venezuela,Earthen,32.0,27.0,40.0,74.0,66.0,68.0,57.0,44.0,63.0,94.0,69.0,36.0,74.2,66.5
Nicaragua 50,Zotter,5.0,Austria,50.0,Blend,Nicaragua,Spices,76.0,78.0,53.0,29.0,76.0,88.0,76.0,82.0,79.0,92.0,93.0,96.7,94.4,97.0
67%,Moho,3.5,Belize,66.0,Hybrid,Belize,Fruits,76.0,53.0,41.0,34.0,58.0,65.0,58.0,62.0,71.0,78.0,91.0,72.0,89.6,82.0
Triple Cacao,Madre,4.0,USA,72.0,Blend,Mexico,Twang,34.0,76.0,83.0,22.0,29.0,78.0,61.0,56.0,71.0,68.0,89.0,80.7,89.8,89.0
Upala 82%,Potomac,3.0,USA,82.0,really,Costa Rica,Naked,63.0,34.0,36.0,41.0,76.0,59.0,44.0,78.0,73.0,88.0,83.0,70.7,87.8,83.5
Brazil,Mast Brothers,2.5,USA,75.0,Amazon,Brazil,Twang,53.0,49.0,79.0,65.0,71.0,84.0,70.0,52.0,81.0,76.0,87.0,79.3,76.6,78.0
Madagascar Nibs,Mast Brothers,3.5,USA,,Hybrid,Madagascar,Crossover,12.0,24.0,62.0,48.0,61.0,70.0,64.0,62.0,59.0,98.0,94.0,86.0,84.0,83.0
Dominica Lait,Vosges,2.0,USA,45.0,Blend,Dominican Republic,Naked,26.0,72.0,14.0,48.0,80.0,17.0,13.0,46.0,66.0,84.0,82.0,76.7,69.8,68.0
85%,El Ceibo,4.0,Bolivia,85.0,Beniano,Bolivia,Fruits,48.0,42.0,44.0,76.0,49.0,71.0,65.0,78.0,77.0,92.0,91.0,86.7,90.8,89.0
Guapiles 65,Escazú,3.0,USA,65.0,Matina,Costa Rica,Naked,62.0,54.0,27.0,41.0,76.0,65.0,24.0,48.0,59.0,74.0,69.0,77.3,86.8,87.5
Beaufort,Escazú,1.5,USA,67.0,Carenero,(Venezuela; Costa Rica),Earthen,37.0,34.0,25.0,39.0,51.0,77.0,26.0,19.0,56.0,76.0,80.0,78.0,66.8,59.5
Chipotle Vanilla,Escazú,3.5,USA,74.0,Carenero,(Venezuela; Costa Rica),Spices,56.0,33.0,81.0,41.0,66.0,64.0,60.0,71.0,69.0,60.0,82.0,77.3,90.0,90.5
C.O.G. 74%,Escazú,4.0,USA,74.0,Carenero,(Venezuela; Costa Rica),Naked,83.0,56.0,38.0,27.0,66.0,62.0,54.0,77.0,63.0,72.0,81.0,84.0,89.8,89.0
Chili Pumpkin,Escazú,4.0,USA,74.0,Carenero,(Venezuela; Costa Rica),Crossover,58.0,36.0,61.0,39.0,69.0,44.0,66.0,77.0,64.0,82.0,84.0,84.7,89.6,86.0
Madagascar Truffle,Mast Brothers,2.0,USA,72.0,Hybrid,Madagascar,Twang,29.0,31.0,80.0,56.0,52.0,84.0,48.0,27.0,65.0,92.0,92.0,76.0,65.8,61.5
75%,El Ceibo,2.0,Bolivia,75.0,Beniano,Bolivia,Earthen,33.0,34.0,26.0,31.0,55.0,66.0,42.0,44.0,76.0,76.0,80.0,72.7,72.4,67.5
Nibs & Salt,El Ceibo,2.5,Bolivia,77.0,Beniano,Bolivia,Earthen,50.0,37.0,44.0,69.0,56.0,76.0,63.0,52.0,70.0,60.0,85.0,78.7,81.2,75.5
Andean Royal Quinoa & Uyuni Salt,El Ceibo,4.0,Bolivia,75.0,Beniano,Bolivia,Earthen,59.0,44.0,51.0,62.0,57.0,77.0,71.0,65.0,76.0,88.0,95.0,82.0,90.2,87.0
Dark 80,Omanhene,2.5,Ghana,,Amazon,Ghana,Earthen,77.0,28.0,17.0,68.0,79.0,72.0,31.0,69.0,63.0,72.0,63.0,68.0,85.0,80.0
Dark Milk,Omanhene,1.5,Ghana,48.0,Amazon,Ghana,Earthen,47.0,64.0,11.0,38.0,70.0,69.0,34.0,51.0,65.0,90.0,51.0,62.0,68.0,62.0
Fortunato No. 4,Marañón Canyon,3.5,Peru,68.0,Nacional,Peru,Fruits,36.0,58.0,46.0,37.0,63.0,47.0,49.0,54.0,70.0,76.0,91.0,81.3,90.0,79.5
Porcelana  ,Idilio,3.5,Switzerland,74.0,Porcelana,Venezuela,Earthen,79.0,52.0,23.0,28.0,76.0,51.0,46.0,80.0,69.0,64.0,94.0,79.3,90.6,85.5
Peru 80,Zotter,1.5,Austria,80.0,Hybrid,Peru,Earthen,64.0,34.0,22.0,46.0,41.0,70.0,18.0,45.0,43.0,92.0,81.0,80.0,62.8,66.0
Piura,Rogue,4.0,USA,75.0,Nacional,Peru,Twang,62.0,44.0,58.0,47.0,79.0,76.0,72.0,74.0,69.0,100.0,89.0,86.7,88.6,93.5
Upala 70,Potomac,3.0,USA,70.0,Amazon,Costa Rica,Naked,54.0,49.0,46.0,63.0,71.0,59.0,57.0,52.0,73.0,92.0,91.0,72.7,86.8,76.0
Fortunato Tumbled Beans,Moonstruck,0.5,USA,,Nacional,Peru,Earthen,29.0,36.0,31.0,82.0,99.0,76.0,18.0,11.0,49.0,100.0,77.0,78.7,52.4,38.0
Merideña w/ Nibs  ,Idilio,4.5,Switzerland,72.0,Sur,Venezuela,Crossover,49.0,51.0,48.0,47.0,77.0,76.0,71.0,76.0,79.0,58.0,95.0,92.0,92.6,93.0
Merideña ,Idilio,4.5,Switzerland,72.0,Sur,Venezuela,Crossover,91.0,54.0,33.0,47.0,72.0,78.0,76.0,81.0,80.0,74.0,89.0,86.0,93.4,91.5
Rio Caribe 70 ,Patric,2.5,USA,70.0,Rio,Venezuela,Earthen,34.0,38.0,34.0,36.0,69.0,70.0,54.0,58.0,64.0,100.0,88.0,70.0,74.2,79.5
Chuao,Amano,2.5,USA,70.0,some,Venezuela,Twang,34.0,52.0,83.0,68.0,34.0,76.0,65.0,29.0,77.0,60.0,83.0,86.0,79.2,74.0
Chuao,Pralus,4.5,France,72.0,Criollo,Venezuela,Crossover,49.0,63.0,56.0,44.0,80.0,81.0,76.0,84.0,79.0,98.0,96.0,82.7,92.2,88.5
Naranjillo Nibs ,Zotter,2.5,Austria,,Hybrid,Peru,Earthen,21.0,14.0,17.0,80.0,52.0,68.0,41.0,76.0,77.0,94.0,89.0,80.0,77.6,76.0
Blanco,Blanxart,3.0,Spain,,,,Earthen,48.0,76.0,21.0,3.0,66.0,61.0,52.0,42.0,58.0,98.0,77.0,78.7,80.4,80.0
Ocumare Crude  ,Idilio,3.5,Switzerland,72.0,Criollo,Venezuela,Sugar,37.0,77.0,34.0,29.0,69.0,65.0,58.0,12.0,50.0,92.0,88.0,87.3,85.0,83.5
