rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality,bitter_cocoa,sweet_cocoa,sweet_bitter,flavor_quality,flavor_compl,quality_struc,quality_comple
2.5,60.0,62.0,81.0,14.0,38.0,59.0,22.0,24.0,76.0,57.0,42.0,73.0,81.3,79.6,82.0,2280.0,4860.0,3078.0,6527.2,1910.3999999999999,6232.0,1968.0
2.5,55.0,38.0,79.0,40.0,26.0,52.0,24.0,28.0,43.0,45.0,80.0,71.0,65.3,77.4,78.0,1430.0,4345.0,2054.0,6037.200000000001,2167.2000000000003,3354.0,2184.0
3.0,100.0,51.0,33.0,14.0,18.0,65.0,48.0,21.0,62.0,57.0,72.0,78.0,71.3,87.6,83.5,1800.0,3300.0,594.0,7314.599999999999,1839.6,5177.0,1753.5
2.5,74.0,32.0,31.0,27.0,52.0,77.0,51.0,26.0,50.0,49.0,54.0,86.0,75.3,79.6,77.0,3848.0,2294.0,1612.0,6129.2,2069.6,3850.0,2002.0
0.5,70.0,39.0,52.0,76.0,71.0,78.0,64.0,23.0,12.0,59.0,82.0,72.0,61.3,58.8,44.5,4970.0,3640.0,3692.0,2616.6,1352.3999999999999,534.0,1023.5
3.0,59.0,61.0,63.0,28.0,2.0,47.0,30.0,32.0,54.0,43.0,72.0,77.0,82.0,84.2,81.0,118.0,3717.0,126.0,6820.2,2694.4,4374.0,2592.0
3.0,91.0,61.0,49.0,21.0,41.0,81.0,56.0,35.0,62.0,66.0,64.0,76.0,80.7,88.6,80.5,3731.0,4459.0,2009.0,7132.299999999999,3101.0,4991.0,2817.5
3.0,88.0,21.0,18.0,36.0,82.0,84.0,73.0,10.0,49.0,56.0,92.0,79.0,82.7,79.6,78.5,7216.0,1584.0,1476.0,6248.599999999999,796.0,3846.5,785.0
1.5,70.0,41.0,44.0,11.0,17.0,76.0,13.0,8.0,65.0,52.0,84.0,71.0,76.0,67.0,63.5,1190.0,3080.0,748.0,4254.5,536.0,4127.5,508.0
2.5,70.0,41.0,52.0,49.0,38.0,74.0,42.0,54.0,47.0,44.0,92.0,71.0,75.3,80.4,77.0,2660.0,3640.0,1976.0,6190.8,4341.6,3619.0,4158.0
3.5,40.0,41.0,62.0,57.0,30.0,78.0,81.0,66.0,42.0,74.0,92.0,86.0,81.3,81.8,89.0,1200.0,2480.0,1860.0,7280.2,5398.8,3738.0,5874.0
3.0,80.0,38.0,36.0,22.0,67.0,64.0,56.0,59.0,68.0,70.0,96.0,72.0,78.0,80.2,85.0,5360.0,2880.0,2412.0,6817.0,4731.8,5780.0,5015.0
3.0,70.0,36.0,44.0,37.0,48.0,82.0,40.0,34.0,42.0,51.0,94.0,70.0,85.3,82.2,81.0,3360.0,3080.0,2112.0,6658.2,2794.8,3402.0,2754.0
2.5,70.0,52.0,56.0,87.0,41.0,74.0,63.0,46.0,43.0,70.0,82.0,76.0,78.7,78.8,82.5,2870.0,3920.0,2296.0,6501.0,3624.7999999999997,3547.5,3795.0
2.0,68.0,46.0,42.0,43.0,63.0,74.0,61.0,34.0,32.0,81.0,86.0,68.0,68.0,73.4,77.0,4284.0,2856.0,2646.0,5651.8,2495.6000000000004,2464.0,2618.0
3.5,65.0,52.0,61.0,40.0,29.0,50.0,56.0,71.0,66.0,68.0,74.0,71.0,81.3,87.8,87.0,1885.0,3965.0,1769.0,7638.599999999999,6233.8,5742.0,6177.0
2.5,72.0,19.0,52.0,34.0,35.0,54.0,31.0,22.0,38.0,40.0,94.0,73.0,84.0,80.2,71.5,2520.0,3744.0,1820.0,5734.3,1764.4,2717.0,1573.0
4.0,72.0,70.0,58.0,51.0,46.0,80.0,83.0,71.0,72.0,86.0,94.0,85.0,84.7,86.4,90.0,3312.0,4176.0,2668.0,7776.000000000001,6134.400000000001,6480.0,6390.0
3.5,0.5,61.0,70.0,41.0,39.0,64.0,68.0,62.0,71.0,60.0,92.0,84.0,80.7,84.6,84.0,19.5,35.0,2730.0,7106.4,5245.2,5964.0,5208.0
3.5,32.0,50.0,76.0,32.0,11.0,78.0,80.0,76.0,84.0,86.0,94.0,81.0,89.3,83.2,91.5,352.0,2432.0,836.0,7612.8,6323.2,7686.0,6954.0
2.5,60.0,51.0,53.0,37.0,4.0,58.0,39.0,46.0,59.0,47.0,82.0,52.0,80.7,78.6,78.0,240.0,3180.0,212.0,6130.799999999999,3615.6,4602.0,3588.0
2.0,60.0,33.0,47.0,46.0,76.0,17.0,71.0,54.0,44.0,58.0,74.0,78.0,87.3,67.2,76.5,4560.0,2820.0,3572.0,5140.8,3628.8,3366.0,4131.0
3.0,70.0,48.0,81.0,64.0,57.0,6.0,63.0,61.0,44.0,76.0,86.0,81.0,80.7,76.0,91.0,3990.0,5670.0,4617.0,6916.0,4636.0,4004.0,5551.0
3.5,65.0,57.0,66.0,68.0,61.0,55.0,53.0,54.0,63.0,48.0,92.0,81.0,93.3,84.8,88.5,3965.0,4290.0,4026.0,7504.8,4579.2,5575.5,4779.0
2.5,72.0,71.0,52.0,28.0,60.0,90.0,72.0,24.0,47.0,79.0,96.0,80.0,88.0,72.6,78.0,4320.0,3744.0,3120.0,5662.799999999999,1742.3999999999999,3666.0,1872.0
3.5,62.0,71.0,43.0,36.0,47.0,81.0,75.0,39.0,77.0,79.0,94.0,81.0,84.0,86.8,86.5,2914.0,2666.0,2021.0,7508.2,3385.2,6660.5,3373.5
3.0,72.0,46.0,43.0,51.0,36.0,44.0,64.0,62.0,41.0,60.0,82.0,73.0,82.7,84.4,81.5,2592.0,3096.0,1548.0,6878.6,5232.8,3341.5,5053.0
2.5,72.0,57.0,36.0,84.0,33.0,31.0,62.0,64.0,23.0,58.0,86.0,73.0,80.7,75.6,73.0,2376.0,2592.0,1188.0,5518.799999999999,4838.4,1679.0,4672.0
3.5,40.0,44.0,65.0,13.0,17.0,76.0,88.0,56.0,52.0,71.0,82.0,78.0,86.7,87.2,87.0,680.0,2600.0,1105.0,7586.400000000001,4883.2,4524.0,4872.0
5.0,75.0,87.0,35.0,39.0,76.0,88.0,91.0,80.0,97.0,92.0,94.0,86.0,88.7,95.2,94.5,5700.0,2625.0,2660.0,8996.4,7616.0,9166.5,7560.0
2.5,85.0,52.0,60.0,76.0,77.0,48.0,59.0,39.0,28.0,41.0,86.0,82.0,87.3,78.6,69.0,6545.0,5100.0,4620.0,5423.4,3065.3999999999996,1932.0,2691.0
3.0,85.0,37.0,88.0,76.0,29.0,42.0,38.0,34.0,46.0,39.0,82.0,77.0,84.7,84.6,76.0,2465.0,7480.0,2552.0,6429.599999999999,2876.3999999999996,3496.0,2584.0
3.0,70.0,38.0,42.0,41.0,48.0,63.0,71.0,76.0,72.0,74.0,88.0,73.0,78.7,87.6,83.0,3360.0,2940.0,2016.0,7270.799999999999,6657.599999999999,5976.0,6308.0
3.5,62.0,81.0,56.0,26.0,29.0,84.0,66.0,22.0,82.0,76.0,96.0,80.0,82.7,88.2,88.0,1798.0,3472.0,1624.0,7761.6,1940.4,7216.0,1936.0
4.0,55.0,95.0,67.0,24.0,19.0,72.0,54.0,9.0,81.0,74.0,88.0,79.0,89.3,90.6,90.5,1045.0,3685.0,1273.0,8199.3,815.4,7330.5,814.5
4.0,20.0,41.0,82.0,9.0,16.0,80.0,29.0,24.0,63.0,71.0,94.0,85.0,92.7,84.2,90.0,320.0,1640.0,1312.0,7578.0,2020.8000000000002,5670.0,2160.0
1.5,50.0,76.0,51.0,28.0,51.0,53.0,42.0,13.0,32.0,40.0,96.0,61.0,82.0,69.6,57.0,2550.0,2550.0,2601.0,3967.2,904.8,1824.0,741.0
0.0,0.5,18.0,97.0,48.0,57.0,62.0,83.0,14.0,8.0,77.0,52.0,41.0,48.0,37.2,24.0,28.5,48.5,5529.0,892.8000000000001,520.8000000000001,192.0,336.0
4.0,31.0,27.0,96.0,44.0,4.0,68.0,61.0,47.0,51.0,53.0,90.0,87.0,82.0,89.2,89.5,124.0,2976.0,384.0,7983.400000000001,4192.400000000001,4564.5,4206.5
4.0,55.0,48.0,63.0,79.0,41.0,95.0,99.0,43.0,93.0,82.0,78.0,86.0,85.3,89.8,90.5,2255.0,3465.0,2583.0,8126.9,3861.4,8416.5,3891.5
4.0,20.0,34.0,88.0,36.0,23.0,77.0,46.0,48.0,81.0,84.0,90.0,83.0,98.0,86.0,87.0,460.0,1760.0,2024.0,7482.0,4128.0,7047.0,4176.0
2.5,66.0,28.0,81.0,96.0,18.0,61.0,91.0,33.0,36.0,56.0,78.0,64.0,86.0,77.4,72.5,1188.0,5346.0,1458.0,5611.5,2554.2000000000003,2610.0,2392.5
3.5,70.0,81.0,48.0,16.0,61.0,77.0,58.0,39.0,84.0,82.0,100.0,90.0,82.7,85.2,85.5,4270.0,3360.0,2928.0,7284.6,3322.8,7182.0,3334.5
3.0,55.0,33.0,68.0,46.0,36.0,77.0,52.0,58.0,59.0,78.0,64.0,82.0,82.7,83.2,86.5,1980.0,3740.0,2448.0,7196.8,4825.6,5103.5,5017.0
3.5,37.0,21.0,79.0,11.0,6.0,39.0,28.0,57.0,54.0,58.0,94.0,87.0,94.0,83.6,88.0,222.0,2923.0,474.0,7356.799999999999,4765.2,4752.0,5016.0
3.5,66.0,43.0,56.0,64.0,21.0,48.0,23.0,42.0,51.0,54.0,80.0,86.0,80.0,86.8,89.0,1386.0,3696.0,1176.0,7725.2,3645.6,4539.0,3738.0
4.0,64.0,37.0,42.0,8.0,29.0,27.0,83.0,44.0,90.0,72.0,90.0,76.0,96.0,88.2,88.0,1856.0,2688.0,1218.0,7761.6,3880.8,7920.0,3872.0
3.0,55.0,12.0,48.0,62.0,29.0,56.0,47.0,56.0,52.0,87.0,90.0,79.0,78.7,82.8,86.0,1595.0,2640.0,1392.0,7120.8,4636.8,4472.0,4816.0
