choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Organic 73%,Chocolove,USA,1.0,73.0,40.0,37.0,53.0,39.0,64.0,50.0,23.0,32.0,48.0,94.0,70.0,65.3,58.4,59.0
Chilies/Cherries,Chocolove,USA,3.0,55.0,36.0,58.0,35.0,41.0,49.0,62.0,64.0,40.0,83.0,96.0,63.0,76.7,83.8,78.0
Cherries/Almonds,Chocolove,USA,2.0,55.0,39.0,51.0,23.0,14.0,42.0,40.0,34.0,18.0,56.0,92.0,62.0,88.7,69.8,63.5
Dark,Chocolove,USA,0.5,55.0,61.0,44.0,31.0,28.0,60.0,57.0,12.0,42.0,36.0,42.0,53.0,68.0,57.2,49.0
Ginger,Chocolove,USA,1.5,65.0,42.0,46.0,49.0,43.0,51.0,36.0,44.0,34.0,62.0,88.0,63.0,40.7,75.2,62.5
Hazelnut Milk Choc,Chocolove,USA,0.0,33.0,28.0,76.0,8.0,7.0,36.0,5.0,15.0,35.0,40.0,94.0,82.0,44.7,37.6,32.5
Milk Chocolate,Chocolove,USA,0.5,33.0,29.0,47.0,16.0,8.0,32.0,21.0,13.0,43.0,35.0,86.0,28.0,68.0,59.4,41.5
Organic 61,Chocolove,USA,0.5,61.0,41.0,52.0,34.0,62.0,76.0,50.0,28.0,16.0,38.0,62.0,68.0,54.0,59.0,48.5
Grenada,Chocolove,USA,2.5,60.0,53.0,66.0,35.0,23.0,49.0,34.0,35.0,43.0,51.0,92.0,81.0,72.0,79.2,77.0
Toffee/Almond,Chocolove,USA,0.5,33.0,31.0,54.0,5.0,7.0,51.0,62.0,40.0,12.0,28.0,86.0,42.0,90.7,54.6,43.5
Strong Dark,Chocolove,USA,1.0,70.0,34.0,41.0,26.0,77.0,82.0,44.0,30.0,28.0,33.0,100.0,68.0,76.0,59.4,51.5
Raspberries in Dark,Chocolove,USA,4.0,55.0,64.0,80.0,71.0,32.0,63.0,76.0,62.0,77.0,43.0,100.0,93.0,85.3,87.2,88.0
Extra Strong Dark,Chocolove,USA,1.5,70.0,52.0,20.0,24.0,43.0,76.0,49.0,21.0,34.0,45.0,84.0,64.0,62.0,69.6,68.0
72%,Vivani,Germany,3.0,72.0,78.0,44.0,31.0,47.0,82.0,36.0,25.0,39.0,64.0,84.0,72.0,84.0,84.2,84.0
Tanzania,Chocolove,USA,0.5,75.0,34.0,32.0,39.0,40.0,72.0,46.0,44.0,35.0,57.0,52.0,62.0,58.7,59.4,60.0
Dominican Rep,Chocolove,USA,2.5,70.0,34.0,35.0,43.0,41.0,70.0,49.0,61.0,58.0,60.0,72.0,77.0,82.7,83.8,71.0
Sao Tome,Chocolove,USA,2.5,70.0,49.0,35.0,38.0,71.0,73.0,44.0,42.0,50.0,53.0,92.0,66.0,78.0,75.8,76.0
Java,Chocolove,USA,1.5,33.0,24.0,96.0,15.0,6.0,39.0,70.0,27.0,38.0,40.0,86.0,70.0,82.7,62.0,61.0
Espresso,Vivani,Germany,3.5,68.0,34.0,48.0,87.0,56.0,98.0,94.0,51.0,55.0,73.0,86.0,69.0,90.7,85.6,87.5
Noir au Praliné,Cluizel,France,2.5,60.0,62.0,81.0,14.0,38.0,59.0,22.0,24.0,76.0,57.0,42.0,73.0,81.3,79.6,82.0
Simply Dark,Denman Island,Canada,2.5,55.0,38.0,79.0,40.0,26.0,52.0,24.0,28.0,43.0,45.0,80.0,71.0,65.3,77.4,78.0
Cacao Puro,El Rey,Venezuela,3.0,100.0,51.0,33.0,14.0,18.0,65.0,48.0,21.0,62.0,57.0,72.0,78.0,71.3,87.6,83.5
Chaac,Chaac,USA,2.5,74.0,32.0,31.0,27.0,52.0,77.0,51.0,26.0,50.0,49.0,54.0,86.0,75.3,79.6,77.0
Lemon,Vivani,Germany,0.5,70.0,39.0,52.0,76.0,71.0,78.0,64.0,23.0,12.0,59.0,82.0,72.0,61.3,58.8,44.5
XOXO,Dorado,USA,3.0,59.0,61.0,63.0,28.0,2.0,47.0,30.0,32.0,54.0,43.0,72.0,77.0,82.0,84.2,81.0
81%70%,Hacienda Paria Shakti,Venezuela,3.0,91.0,61.0,49.0,21.0,41.0,81.0,56.0,35.0,62.0,66.0,64.0,76.0,80.7,88.6,80.5
Black Panther,Endangered Species,USA,3.0,88.0,21.0,18.0,36.0,82.0,84.0,73.0,10.0,49.0,56.0,92.0,79.0,82.7,79.6,78.5
70% Dark,Joseph Manner,Austria,1.5,70.0,41.0,44.0,11.0,17.0,76.0,13.0,8.0,65.0,52.0,84.0,71.0,76.0,67.0,63.5
Venezuela,Gobino,Italy,2.5,70.0,41.0,52.0,49.0,38.0,74.0,42.0,54.0,47.0,44.0,92.0,71.0,75.3,80.4,77.0
Coconut Curry,Theo,USA,3.5,40.0,41.0,62.0,57.0,30.0,78.0,81.0,66.0,42.0,74.0,92.0,86.0,81.3,81.8,89.0
Trinidad,Guido Gobino,Italy,3.0,80.0,38.0,36.0,22.0,67.0,64.0,56.0,59.0,68.0,70.0,96.0,72.0,78.0,80.2,85.0
Java,Guido Gobino,Italy,3.0,70.0,36.0,44.0,37.0,48.0,82.0,40.0,34.0,42.0,51.0,94.0,70.0,85.3,82.2,81.0
Orange,Vivani,Germany,2.5,70.0,52.0,56.0,87.0,41.0,74.0,63.0,46.0,43.0,70.0,82.0,76.0,78.7,78.8,82.5
Green Tea,Vivani,Germany,2.0,68.0,46.0,42.0,43.0,63.0,74.0,61.0,34.0,32.0,81.0,86.0,68.0,68.0,73.4,77.0
Manabi,Pacari,Ecuador,3.5,65.0,52.0,61.0,40.0,29.0,50.0,56.0,71.0,66.0,68.0,74.0,71.0,81.3,87.8,87.0
Dark,Kshocolât,Scotland,2.5,72.0,19.0,52.0,34.0,35.0,54.0,31.0,22.0,38.0,40.0,94.0,73.0,84.0,80.2,71.5
Orange/Cardamom,Kshocolât,Scotland,4.0,72.0,70.0,58.0,51.0,46.0,80.0,83.0,71.0,72.0,86.0,94.0,85.0,84.7,86.4,90.0
Honeycomb/Vanilla,Kshocolât,Scotland,3.5,0.5,61.0,70.0,41.0,39.0,64.0,68.0,62.0,71.0,60.0,92.0,84.0,80.7,84.6,84.0
Milk Choc,Kshocolât,Scotland,3.5,32.0,50.0,76.0,32.0,11.0,78.0,80.0,76.0,84.0,86.0,94.0,81.0,89.3,83.2,91.5
60%,Kras,Croatia,2.5,60.0,51.0,53.0,37.0,4.0,58.0,39.0,46.0,59.0,47.0,82.0,52.0,80.7,78.6,78.0
Esmeraldas,Pacari,Ecuador,2.0,60.0,33.0,47.0,46.0,76.0,17.0,71.0,54.0,44.0,58.0,74.0,78.0,87.3,67.2,76.5
Raw 70,Pacari,Ecuador,3.0,70.0,48.0,81.0,64.0,57.0,6.0,63.0,61.0,44.0,76.0,86.0,81.0,80.7,76.0,91.0
65% w/ Nibs,Mischer,USA,3.5,65.0,57.0,66.0,68.0,61.0,55.0,53.0,54.0,63.0,48.0,92.0,81.0,93.3,84.8,88.5
Dark 72%,Hotel Chocolat,St.,2.5,72.0,71.0,52.0,28.0,60.0,90.0,72.0,24.0,47.0,79.0,96.0,80.0,88.0,72.6,78.0
Milk 62%,Hotel Chocolat,St.,3.5,62.0,71.0,43.0,36.0,47.0,81.0,75.0,39.0,77.0,79.0,94.0,81.0,84.0,86.8,86.5
72% w/ Almonds,Mischer,USA,3.0,72.0,46.0,43.0,51.0,36.0,44.0,64.0,62.0,41.0,60.0,82.0,73.0,82.7,84.4,81.5
Finisterra,Scharffen Berger,USA,2.5,72.0,57.0,36.0,84.0,33.0,31.0,62.0,64.0,23.0,58.0,86.0,73.0,80.7,75.6,73.0
Hazelnut Crunch,Theo,USA,3.5,40.0,44.0,65.0,13.0,17.0,76.0,88.0,56.0,52.0,71.0,82.0,78.0,86.7,87.2,87.0
Super Amer,Bernachon,France,5.0,75.0,87.0,35.0,39.0,76.0,88.0,91.0,80.0,97.0,92.0,94.0,86.0,88.7,95.2,94.5
85%,Recchiuti,USA,2.5,85.0,52.0,60.0,76.0,77.0,48.0,59.0,39.0,28.0,41.0,86.0,82.0,87.3,78.6,69.0
85% Fève,Recchiuti,USA,3.0,85.0,37.0,88.0,76.0,29.0,42.0,38.0,34.0,46.0,39.0,82.0,77.0,84.7,84.6,76.0
Guayas,Amano,USA,3.0,70.0,38.0,42.0,41.0,48.0,63.0,71.0,76.0,72.0,74.0,88.0,73.0,78.7,87.6,83.0
Amer,Bernachon,France,3.5,62.0,81.0,56.0,26.0,29.0,84.0,66.0,22.0,82.0,76.0,96.0,80.0,82.7,88.2,88.0
Nature,Bernachon,France,4.0,55.0,95.0,67.0,24.0,19.0,72.0,54.0,9.0,81.0,74.0,88.0,79.0,89.3,90.6,90.5
Nature Lait,Bernachon,France,4.0,20.0,41.0,82.0,9.0,16.0,80.0,29.0,24.0,63.0,71.0,94.0,85.0,92.7,84.2,90.0
Flavor 50; 60,Sweet Riot,USA,1.5,50.0,76.0,51.0,28.0,51.0,53.0,42.0,13.0,32.0,40.0,96.0,61.0,82.0,69.6,57.0
Coffee,Neuhaus,Belgium,0.0,0.5,18.0,97.0,48.0,57.0,62.0,83.0,14.0,8.0,77.0,52.0,41.0,48.0,37.2,24.0
Jaina,Chocovic,Spain,4.0,31.0,27.0,96.0,44.0,4.0,68.0,61.0,47.0,51.0,53.0,90.0,87.0,82.0,89.2,89.5
Café,Bernachon,France,4.0,55.0,48.0,63.0,79.0,41.0,95.0,99.0,43.0,93.0,82.0,78.0,86.0,85.3,89.8,90.5
Café Lait,Bernachon,France,4.0,20.0,34.0,88.0,36.0,23.0,77.0,46.0,48.0,81.0,84.0,90.0,83.0,98.0,86.0,87.0
Green Tangerine,Soma,Canada,2.5,66.0,28.0,81.0,96.0,18.0,61.0,91.0,33.0,36.0,56.0,78.0,64.0,86.0,77.4,72.5
Mayan Dark,Santander,Colombia,3.5,70.0,81.0,48.0,16.0,61.0,77.0,58.0,39.0,84.0,82.0,100.0,90.0,82.7,85.2,85.5
Brésilien,Bernachon,France,3.0,55.0,33.0,68.0,46.0,36.0,77.0,52.0,58.0,59.0,78.0,64.0,82.0,82.7,83.2,86.5
Riesling Icewine,DC Duby,Canada,3.5,37.0,21.0,79.0,11.0,6.0,39.0,28.0,57.0,54.0,58.0,94.0,87.0,94.0,83.6,88.0
Arriba,Christian Constant,France,3.5,66.0,43.0,56.0,64.0,21.0,48.0,23.0,42.0,51.0,54.0,80.0,86.0,80.0,86.8,89.0
Lait Amer,Christian Constant,France,4.0,64.0,37.0,42.0,8.0,29.0,27.0,83.0,44.0,90.0,72.0,90.0,76.0,96.0,88.2,88.0
Café Noix,Bernachon,France,3.0,55.0,12.0,48.0,62.0,29.0,56.0,47.0,56.0,52.0,87.0,90.0,79.0,78.7,82.8,86.0
Madagascar 70%,Soma,Canada,4.0,70.0,43.0,55.0,72.0,31.0,56.0,64.0,66.0,70.0,65.0,90.0,81.0,85.3,88.0,89.5
Ocumare Nibs,Soma,Canada,4.0,82.0,52.0,54.0,41.0,63.0,79.0,82.0,34.0,68.0,91.0,84.0,76.0,89.3,89.8,85.5
Aveline,Bernachon,France,2.5,62.0,37.0,98.0,12.0,11.0,59.0,76.0,28.0,36.0,54.0,96.0,81.0,84.0,74.6,78.5
Ocumare 70,Soma,Canada,2.5,70.0,31.0,46.0,40.0,36.0,54.0,52.0,55.0,47.0,64.0,78.0,70.0,74.7,81.8,75.5
Carenero Superior,Soma,Canada,3.5,61.0,42.0,61.0,52.0,11.0,77.0,34.0,40.0,53.0,48.0,88.0,82.0,92.0,83.2,88.5
Creamy Milk,Soma,Canada,2.0,32.0,18.0,67.0,12.0,15.0,53.0,24.0,11.0,61.0,52.0,100.0,83.0,76.0,66.4,64.0
Montserrat,Christian Constant,France,4.0,73.0,82.0,40.0,43.0,31.0,49.0,72.0,21.0,64.0,60.0,72.0,73.0,80.7,92.0,91.5
Pure Paté,Christian Constant,France,2.5,100.0,52.0,3.0,10.0,91.0,83.0,92.0,62.0,84.0,93.0,88.0,76.0,79.3,77.8,82.0
Noisettes,Bernachon,France,2.5,55.0,49.0,56.0,21.0,64.0,66.0,59.0,32.0,27.0,68.0,94.0,82.0,75.3,76.2,78.0
Bitter-Plus,Christian Constant,France,4.0,80.0,64.0,51.0,53.0,41.0,35.0,57.0,70.0,76.0,62.0,82.0,89.0,81.3,90.4,94.0
Noisettes Lait,Bernachon,France,4.5,20.0,47.0,61.0,13.0,26.0,74.0,69.0,77.0,66.0,78.0,96.0,89.0,83.3,91.2,91.5
Orange,Bernachon,France,4.0,55.0,64.0,67.0,76.0,44.0,56.0,52.0,49.0,61.0,73.0,92.0,83.0,84.7,88.2,92.0
Mo's Bacon Bar,Vosges,USA,0.0,41.0,21.0,58.0,4.0,32.0,76.0,81.0,27.0,31.0,64.0,82.0,47.0,84.0,25.8,12.5
Amandine,Bernachon,France,3.5,55.0,61.0,66.0,32.0,58.0,77.0,64.0,76.0,49.0,81.0,82.0,85.0,68.0,87.2,89.0
Extra Dark,Casa Luker,Colombia,3.0,85.0,61.0,47.0,36.0,78.0,87.0,76.0,44.0,35.0,81.0,74.0,92.0,84.0,82.6,75.5
Amandine Lait,Bernachon,France,3.0,20.0,24.0,92.0,11.0,10.0,64.0,76.0,44.0,42.0,71.0,78.0,86.0,80.7,81.2,79.0
Créole,Bernachon,France,4.0,55.0,47.0,78.0,42.0,23.0,56.0,63.0,89.0,76.0,77.0,72.0,86.0,80.7,92.8,92.5
Noir 81,Hévin,France,4.0,81.0,40.0,66.0,51.0,54.0,52.0,46.0,51.0,82.0,50.0,100.0,73.0,100.0,86.8,89.5
Noir 80,Hévin,France,2.0,80.0,7.0,76.0,70.0,67.0,41.0,92.0,35.0,53.0,81.0,82.0,71.0,90.7,69.2,76.0
Raw 100,Pacari,Ecuador,3.0,100.0,7.0,16.0,18.0,57.0,1.0,76.0,28.0,54.0,71.0,92.0,48.0,88.0,85.2,91.5
100,Rochoux,France,3.0,100.0,26.0,3.0,22.0,81.0,48.0,83.0,54.0,77.0,90.0,92.0,82.0,90.7,80.4,80.0
70,Rochoux,France,3.0,70.0,81.0,30.0,34.0,41.0,74.0,80.0,27.0,66.0,59.0,88.0,72.0,79.3,84.4,88.0
62,Rochoux,France,4.0,62.0,86.0,71.0,35.0,14.0,60.0,76.0,28.0,92.0,77.0,100.0,83.0,87.3,87.2,89.5
Los Rios,Pacari,Ecuador,4.0,72.0,64.0,52.0,56.0,48.0,43.0,57.0,63.0,59.0,71.0,86.0,68.0,87.3,89.4,91.5
Madagascar,Hévin,France,2.5,75.0,34.0,43.0,61.0,50.0,79.0,74.0,48.0,44.0,68.0,92.0,71.0,74.7,72.6,79.5
Cuba,Hévin,France,3.5,75.0,39.0,90.0,61.0,49.0,34.0,46.0,48.0,82.0,32.0,100.0,71.0,94.7,84.2,90.0
Ecuador,DeBondt,Italy,5.0,90.0,82.0,41.0,36.0,43.0,0.5,86.0,50.0,91.0,75.0,100.0,90.0,98.0,96.0,10.0
Bergamotto/Limone,DeBondt,Italy,3.5,60.0,40.0,79.0,86.0,23.0,61.0,52.0,64.0,68.0,72.0,64.0,78.0,78.0,88.2,90.0
Latte Indonesia,DeBondt,Italy,3.5,33.0,0.5,82.0,11.0,3.0,64.0,20.0,5.0,88.0,91.0,100.0,80.0,95.3,82.8,89.0
Latte 45,DeBondt,Italy,0.5,45.0,11.0,70.0,32.0,10.0,46.0,13.0,6.0,17.0,55.0,56.0,56.0,48.7,56.8,34.5
Bitter-Sweet,Noi Sirius,Iceland,3.0,56.0,81.0,76.0,27.0,35.0,57.0,42.0,23.0,66.0,77.0,100.0,66.0,69.3,85.6,77.5
Semi-Sweet,Noi Sirius,Iceland,1.5,45.0,31.0,94.0,16.0,23.0,52.0,41.0,12.0,50.0,76.0,64.0,54.0,68.7,65.6,73.0
Milk Choc,Noi Sirius,Iceland,2.5,33.0,5.0,89.0,28.0,19.0,50.0,77.0,23.0,44.0,56.0,60.0,51.0,88.0,81.2,74.0
70,Oriol Balaguer,Spain,4.5,70.0,77.0,46.0,24.0,31.0,69.0,56.0,41.0,79.0,73.0,100.0,87.0,87.3,92.4,94.0
Negro,Enric Rovira,Spain,3.0,80.0,56.0,28.0,62.0,70.0,83.0,87.0,64.0,33.0,95.0,100.0,81.0,82.0,76.4,85.5
Canella,DeBondt,Italy,3.0,60.0,57.0,76.0,34.0,28.0,71.0,32.0,40.0,44.0,60.0,64.0,78.0,69.3,85.8,78.5
Zenzero,DeBondt,Italy,3.5,71.0,62.0,53.0,83.0,40.0,54.0,55.0,43.0,88.0,80.0,80.0,83.0,91.3,86.2,88.0
Maralumi,Hévin,France,4.5,72.0,61.0,80.0,59.0,30.0,53.0,82.0,84.0,78.0,65.0,100.0,81.0,90.7,92.4,94.0
Vasquez San Felipe,Muzzi,Italy,2.0,75.0,34.0,47.0,42.0,81.0,84.0,78.0,51.0,53.0,67.0,82.0,62.0,77.3,75.8,61.5
Trinité,Hévin,France,3.5,75.0,76.0,51.0,44.0,60.0,61.0,58.0,77.0,80.0,92.0,84.0,81.0,86.7,87.4,88.0
Araguani,Hévin,France,4.0,72.0,76.0,70.0,62.0,48.0,35.0,81.0,83.0,64.0,59.0,88.0,91.0,94.7,86.4,86.5
Corallo,Hévin,France,3.0,75.0,61.0,52.0,56.0,34.0,59.0,77.0,32.0,48.0,63.0,82.0,62.0,80.7,88.0,86.5
Rajoles,Enric Rovira,Spain,4.0,70.0,66.0,54.0,70.0,61.0,76.0,69.0,76.0,48.0,89.0,100.0,72.0,76.7,91.6,93.0
Jalepeno Affumicato,DeBondt,Italy,1.5,68.0,57.0,60.0,52.0,41.0,79.0,38.0,37.0,40.0,48.0,74.0,76.0,58.7,68.8,69.0
Palmaritos,Muzzi,Italy,1.0,75.0,23.0,39.0,31.0,84.0,86.0,87.0,29.0,38.0,79.0,68.0,61.0,86.7,63.2,36.5
Extra-Bitter,Noi Sirius,Iceland,0.5,70.0,76.0,34.0,1.0,7.0,78.0,14.0,3.0,31.0,72.0,64.0,43.0,60.7,67.6,38.0
Pepe Nero,DeBondt,Italy,2.5,66.0,41.0,44.0,75.0,28.0,67.0,56.0,47.0,79.0,80.0,78.0,72.0,70.7,77.0,87.0
Limone/Limetta,DeBondt,Italy,3.0,64.0,49.0,70.0,62.0,29.0,43.0,34.0,46.0,57.0,35.0,82.0,77.0,80.0,82.6,82.5
Chiapan,Taza,USA,3.0,75.0,62.0,49.0,57.0,46.0,28.0,64.0,53.0,52.0,53.0,96.0,64.0,95.3,78.4,82.5
Vista Alegre,Vestri,Italy,4.5,71.0,72.0,51.0,56.0,48.0,67.0,76.0,81.0,84.0,77.0,100.0,86.0,80.7,92.8,96.0
Bolivar,Cacaoyere,Ecuador,2.5,82.0,34.0,26.0,29.0,45.0,77.0,61.0,40.0,51.0,66.0,88.0,68.0,80.0,79.2,78.5
Aliseo,Vestri,Italy,4.5,63.0,76.0,83.0,41.0,10.0,57.0,38.0,59.0,72.0,63.0,76.0,75.0,92.7,94.4,95.5
Naturale,Vestri,Italy,3.0,71.0,35.0,47.0,92.0,31.0,57.0,78.0,59.0,34.0,65.0,86.0,90.0,85.3,79.2,83.5
55% Milk,Recchiuti,USA,3.0,55.0,51.0,48.0,39.0,31.0,46.0,33.0,40.0,44.0,47.0,92.0,81.0,91.3,77.8,74.0
Bianco,Vestri,Italy,4.5,0.8,41.0,78.0,12.0,24.0,71.0,52.0,60.0,73.0,69.0,74.0,84.0,90.7,92.2,94.5
White Nibble,Askinosie,USA,4.0,34.0,53.0,76.0,18.0,14.0,77.0,61.0,80.0,72.0,63.0,68.0,79.0,78.7,93.2,10.0
White,Askinosie,USA,0.0,34.0,14.0,78.0,21.0,48.0,52.0,63.0,11.0,14.0,53.0,70.0,42.0,40.7,33.2,44.5
Extreme 85,Castelain,France,4.0,85.0,81.0,18.0,23.0,79.0,82.0,84.0,68.0,80.0,77.0,96.0,83.0,84.0,85.2,94.0
Tradition,Castelain,France,2.5,72.0,74.0,59.0,42.0,39.0,66.0,51.0,44.0,56.0,62.0,96.0,81.0,75.3,78.4,77.0
Equateur,Castelain,France,1.5,70.0,61.0,51.0,46.0,70.0,88.0,68.0,42.0,44.0,71.0,92.0,68.0,88.0,61.2,71.0
St Domingue,Castelain,France,3.0,67.0,78.0,73.0,52.0,46.0,69.0,72.0,71.0,66.0,81.0,96.0,77.0,79.3,80.4,86.5
Dark 65,Casa Luker,Colombia,1.5,65.0,42.0,46.0,39.0,71.0,92.0,60.0,54.0,32.0,66.0,62.0,80.0,94.0,69.8,48.0
Dark 70,Casa Luker,Colombia,2.5,70.0,33.0,27.0,19.0,82.0,96.0,71.0,16.0,12.0,63.0,78.0,69.0,92.0,68.8,98.0
Fig Fennel Almond,Theo,USA,2.0,65.0,46.0,57.0,42.0,31.0,68.0,62.0,41.0,67.0,74.0,48.0,79.0,58.0,78.6,74.0
SemiDark,Casa Luker,Colombia,2.5,53.0,61.0,63.0,23.0,52.0,81.0,41.0,28.0,37.0,59.0,76.0,84.0,87.3,75.2,74.0
Naga,Vosges,USA,0.0,41.0,23.0,81.0,17.0,22.0,26.0,48.0,27.0,42.0,51.0,88.0,76.0,68.0,32.8,35.5
Macha,Vosges,USA,0.0,41.0,9.0,76.0,17.0,24.0,38.0,31.0,16.0,11.0,49.0,92.0,82.0,75.3,33.8,28.5
Woolloomooloo,Vosges,USA,0.0,41.0,12.0,66.0,21.0,8.0,23.0,90.0,19.0,13.0,32.0,96.0,37.0,72.7,34.4,29.0
Red Fire (Sugar-Free),Vosges,USA,2.5,62.0,57.0,21.0,13.0,35.0,72.0,54.0,43.0,48.0,60.0,94.0,64.0,63.3,77.2,79.5
Anice Stellato,DeBondt,Italy,2.5,66.0,32.0,52.0,21.0,48.0,79.0,62.0,28.0,53.0,76.0,94.0,81.0,86.0,77.2,74.0
Caffe,DeBondt,Italy,2.5,60.0,8.0,62.0,44.0,11.0,63.0,64.0,25.0,71.0,57.0,86.0,79.0,68.7,82.4,77.0
90,Vintage Plantations,USA,2.5,90.0,37.0,14.0,11.0,67.0,56.0,73.0,46.0,68.0,71.0,74.0,68.0,70.7,81.4,87.0
100,Vintage Plantations,USA,2.5,100.0,37.0,24.0,26.0,78.0,49.0,94.0,51.0,43.0,72.0,76.0,84.0,80.0,76.2,81.5
65,Vintage Plantations,USA,2.0,65.0,53.0,72.0,34.0,17.0,71.0,46.0,38.0,44.0,70.0,46.0,59.0,76.0,73.4,81.0
75,Vintage Plantations,USA,1.5,75.0,38.0,33.0,44.0,57.0,71.0,76.0,68.0,41.0,79.0,80.0,52.0,75.3,66.2,63.5
Fior di Sale,DeBondt,Italy,1.0,90.0,26.0,34.0,4.0,56.0,67.0,71.0,13.0,12.0,48.0,72.0,78.0,80.7,57.4,56.5
Semi di Cacao,DeBondt,Italy,2.5,42.0,48.0,67.0,21.0,17.0,70.0,51.0,38.0,52.0,58.0,78.0,82.0,80.7,77.6,76.5
Super Fudge,Love Street,USA,2.5,70.0,47.0,44.0,21.0,30.0,12.0,46.0,53.0,45.0,47.0,96.0,69.0,76.0,76.2,85.0
70,Love Street,USA,1.0,70.0,39.0,47.0,46.0,38.0,7.0,49.0,41.0,8.0,39.0,100.0,78.0,44.7,61.2,59.0
Dangerously Dark 84,Jacques Torres,USA,1.0,84.0,69.0,35.0,27.0,64.0,81.0,52.0,41.0,53.0,62.0,68.0,39.0,58.0,66.4,55.0
Midnight Soul,Jacques Torres,USA,0.5,80.0,76.0,48.0,14.0,21.0,79.0,32.0,7.0,56.0,44.0,64.0,69.0,67.3,58.6,43.5
60 w/ Nibs,Jacques Torres,USA,1.0,60.0,62.0,61.0,19.0,41.0,80.0,48.0,36.0,57.0,71.0,58.0,41.0,50.7,72.6,52.0
Dangerously Dark 72,Jacques Torres,USA,0.5,72.0,82.0,58.0,21.0,40.0,78.0,47.0,19.0,54.0,66.0,78.0,44.0,55.3,66.4,48.0
Rosa,DeBondt,Italy,0.0,60.0,41.0,62.0,41.0,48.0,67.0,42.0,31.0,28.0,52.0,72.0,74.0,48.0,43.6,47.5
Peru,Jacques Torres,USA,3.0,64.0,43.0,71.0,37.0,32.0,51.0,49.0,68.0,64.0,72.0,80.0,71.0,82.0,82.4,82.0
Dominican,Jacques Torres,USA,0.5,0.5,61.0,32.0,26.0,63.0,76.0,39.0,31.0,33.0,70.0,48.0,68.0,57.3,58.6,54.0
Wicked,Jacques Torres,USA,3.0,60.0,31.0,86.0,40.0,8.0,76.0,59.0,62.0,61.0,68.0,64.0,63.0,76.0,89.6,91.0
Dark+Coconut,Vintage Plantations,USA,2.5,75.0,39.0,36.0,41.0,54.0,76.0,73.0,69.0,41.0,76.0,68.0,64.0,78.0,78.6,83.0
Moka,Alter Eco,USA,4.0,35.0,18.0,77.0,13.0,26.0,81.0,63.0,74.0,59.0,76.0,100.0,82.0,84.0,86.6,89.5
Porcelana,Marcolini,Belgium,4.5,72.0,77.0,47.0,76.0,44.0,68.0,52.0,57.0,63.0,71.0,90.0,71.0,88.0,93.4,94.5
70% w/ Nibs,Santander,Colombia,4.0,70.0,66.0,49.0,46.0,58.0,72.0,64.0,67.0,70.0,72.0,84.0,90.0,82.0,89.2,85.5
Cariaco,El Rey,Venezuela,3.5,0.5,76.0,87.0,41.0,22.0,69.0,54.0,66.0,76.0,74.0,78.0,88.0,70.7,90.4,90.5
Macuro,El Rey,Venezuela,4.5,70.0,81.0,76.0,37.0,18.0,72.0,61.0,78.0,86.0,83.0,56.0,94.0,79.3,96.4,95.5
Alpaco,Valrhona,France,3.5,66.0,73.0,66.0,44.0,15.0,61.0,46.0,37.0,56.0,68.0,94.0,81.0,83.3,86.4,84.0
Irapa,El Rey,Venezuela,2.5,0.5,76.0,87.0,41.0,22.0,69.0,54.0,66.0,76.0,74.0,64.0,81.0,82.7,80.2,78.0
Taïnori,Valrhona,France,3.5,64.0,58.0,73.0,46.0,17.0,68.0,56.0,62.0,67.0,68.0,94.0,84.0,84.7,84.4,89.5
Nutty,Tcho,USA,2.5,70.0,46.0,42.0,51.0,44.0,66.0,71.0,53.0,41.0,72.0,88.0,72.0,79.3,78.6,83.5
Chocolatey,Tcho,USA,3.5,70.0,93.0,62.0,29.0,11.0,70.0,72.0,26.0,77.0,71.0,96.0,79.0,68.7,89.4,84.0
Dark Fleur de Sel,Mast Brothers,USA,3.5,81.0,57.0,39.0,26.0,45.0,81.0,66.0,84.0,63.0,64.0,82.0,80.0,80.7,87.2,91.0
Massa Pura,Vestri,Italy,5.0,100.0,33.0,38.0,64.0,59.0,41.0,70.0,57.0,66.0,84.0,96.0,92.0,89.3,91.2,95.5
Amargo,Vestri,Italy,3.0,81.0,51.0,44.0,64.0,72.0,68.0,76.0,52.0,57.0,73.0,76.0,86.0,73.3,83.4,89.5
Dominican,Mast Brothers,USA,4.0,70.0,84.0,61.0,34.0,18.0,77.0,38.0,52.0,63.0,39.0,88.0,86.0,81.3,92.2,92.0
Hazelnut,Alter Eco,USA,3.0,32.0,33.0,54.0,16.0,23.0,72.0,44.0,54.0,74.0,67.0,76.0,81.0,78.0,85.6,87.0
Velvet,Alter Eco,USA,4.0,46.0,62.0,46.0,11.0,31.0,70.0,58.0,51.0,72.0,77.0,80.0,83.0,84.7,88.4,89.5
Fruity,Tcho,USA,2.5,70.0,49.0,54.0,58.0,36.0,61.0,59.0,34.0,39.0,74.0,78.0,76.0,78.0,75.8,81.0
Dark 55,Mast Brothers,USA,2.5,55.0,73.0,64.0,36.0,23.0,81.0,37.0,38.0,47.0,52.0,78.0,74.0,57.3,82.6,79.0
