choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Chili Pepper Dark Milk,Mānoa,USA,3.5,60.0,40.0,45.0,76.0,34.0,72.0,74.0,66.0,79.0,84.0,78.0,73.0,87.3,89.6,88.0
Ginger,Mānoa,USA,2.5,72.0,33.0,52.0,71.0,30.0,67.0,61.0,42.0,41.0,68.0,88.0,81.0,76.0,74.4,69.5
Breakfast Bar,Mānoa,USA,4.0,60.0,34.0,66.0,52.0,41.0,58.0,63.0,61.0,64.0,76.0,96.0,85.0,86.0,90.8,86.0
Smokehouse BBQ Potato Chips,Wild Ophelia,USA,0.0,70.0,12.0,30.0,14.0,42.0,76.0,51.0,26.0,9.0,66.0,36.0,46.0,36.0,42.4,35.0
Mexican Style Cinnamon Chili,Olive & Sinclair,USA,3.0,67.0,28.0,34.0,71.0,36.0,63.0,55.0,34.0,59.0,69.0,80.0,69.0,84.0,86.8,82.0
Buttermilk White Chocolate,Olive & Sinclair,USA,3.0,45.0,46.0,84.0,79.0,27.0,61.0,76.0,47.0,48.0,69.0,84.0,80.0,75.3,87.8,82.0
Project Reserva,Kerchner,USA,3.0,70.0,46.0,44.0,48.0,45.0,61.0,57.0,53.0,66.0,76.0,68.0,78.0,82.0,86.2,83.5
Coconut Milk & Caramelized Ginger,Madre,USA,3.5,70.0,37.0,60.0,54.0,22.0,48.0,56.0,69.0,76.0,64.0,68.0,85.0,72.7,90.0,86.0
70% Dark,Theo & Philo,Philippines,2.5,70.0,64.0,36.0,14.0,59.0,79.0,41.0,26.0,37.0,72.0,76.0,79.0,74.7,80.8,73.0
Ocumare 61,Franceschi,Venezuela,4.5,70.0,46.0,69.0,28.0,37.0,66.0,44.0,55.0,78.0,51.0,92.0,78.0,91.3,92.8,90.5
Sur del Lago,Franceschi,Venezuela,4.5,60.0,58.0,61.0,38.0,44.0,60.0,53.0,76.0,80.0,72.0,86.0,81.0,82.7,93.4,94.5
